subject_code;subject_name;subject_acronym
2223_INGE_EI_OD_AERONAUTIQUE_UE7393_DYGAZA;Dynamique des gaz;DYGAZA
2223_INGE_EI_OD_AERONAUTIQUE_UE7393_DYVOL;Dynamique du vol;DYVOL
2223_INGE_EI_OD_AERONAUTIQUE_UE7393_ISN;Introduction à la simulation numérique;ISN
2223_INGE_EI_OD_AERONAUTIQUE_UE7393_STAV;Modélisation de la structure des avions;STAV
2223_INGE_EI_OD_AERONAUTIQUE_UE7494_AEFP;Aérodynamique en fluide parfait;AEFP
2223_INGE_EI_OD_AERONAUTIQUE_UE7494_CAE;Conception des aéronefs;CAE
2223_INGE_EI_OD_AERONAUTIQUE_UE7494_MTURB;Modélisation de la turbulence;MTURB
2223_INGE_EI_OD_AERONAUTIQUE_UE7494_PROAE;Systèmes propulsifs en aéronautique;PROAE
2223_INGE_EI_OD_BIOSTIC_UE7393_BIOCEL;Biologie cellulaire;BIOCEL
2223_INGE_EI_OD_BIOSTIC_UE7393_INFAVA;Informatique avancée;INFAVA
2223_INGE_EI_OD_BIOSTIC_UE7393_SIMCHI;Simulation chirurgicale;SIMCHI
2223_INGE_EI_OD_BIOSTIC_UE7393_STAPRE;Statistiques et apprentissage;STAPRE
2223_INGE_EI_OD_BIOSTIC_UE7494_BIOMOL;Biologie moléculaire, génétique et évolution;BIOMOL
2223_INGE_EI_OD_BIOSTIC_UE7494_IMMUNO;Immunologie;IMMUNO
2223_INGE_EI_OD_BIOSTIC_UE7494_MODIAN;Modélisation discrète et analyse qualitative des réseaux biologiques;MODIAN
2223_INGE_EI_OD_BIOSTIC_UE7494_NEUPHY;Neurologie et Physiologie;NEUPHY
2223_INGE_EI_OD_DATASIM_UE7393_ARSIG;Analyse et représentation de signaux;ARSIG
2223_INGE_EI_OD_DATASIM_UE7393_ATRIM;Analyse et traitement d'images;ATRIM
2223_INGE_EI_OD_DATASIM_UE7393_CSOPT;Calcul scientifique et optimisation;CSOPT
2223_INGE_EI_OD_DATASIM_UE7393_MSTAT;Modélisation statistique de données;MSTAT
2223_INGE_EI_OD_DATASIM_UE7494_AMULT;Analyse de données multicapteurs;AMULT
2223_INGE_EI_OD_DATASIM_UE7494_APSTA;Apprentissage statistique;APSTA
2223_INGE_EI_OD_DATASIM_UE7494_IMINV;Imagerie et méthodes inverses;IMINV
2223_INGE_EI_OD_DATASIM_UE7494_SIBIO;Signaux biomédicaux;SIBIO
2223_INGE_EI_OD_ECONTROL_UE7393_CONEN;Chaine de conversion de l'énergie;CONEN
2223_INGE_EI_OD_ECONTROL_UE7393_INFEM;Informatique embarquée;INFEM
2223_INGE_EI_OD_ECONTROL_UE7393_METOD;Méthodologie de la commande linéaire;METOD
2223_INGE_EI_OD_ECONTROL_UE7393_SIMUS;Simulation des systèmes électriques;SIMUS
2223_INGE_EI_OD_ECONTROL_UE7494_CAVAN;Commandes Avancées : Application aux ENRs;CAVAN
2223_INGE_EI_OD_ECONTROL_UE7494_LTIOT;LoT low power;LTIOT
2223_INGE_EI_OD_ECONTROL_UE7494_MCIA;Model checking et IA;MCIA
2223_INGE_EI_OD_ECONTROL_UE7494_VECGC;Véhicule électrique : capteurs logiciels, gestion contrôle;VECGC
2223_INGE_EI_OD_ENERG_UE7393_COMBUE;Combustion et émissions polluantes en énergétique;COMBU
2223_INGE_EI_OD_ENERG_UE7393_THCYM;Thermodynamique des cycles moteurs;THCYM
2223_INGE_EI_OD_ENERG_UE7393_THERMEN;Thermodynamique appliquée à l'énergétique;THERM
