group_type;group_name
SoftSkills;Softskills - Menu 1 - Semestre 6
SoftSkills;Softskills - Menu 2 - Semestre 6
SoftSkills;Softskills - Menu 3 - Semestre 6
SoftSkills;Softskills - Menu 4 - Semestre 6
SoftSkills;Softskills - Menu 5 - Semestre 6
SoftSkills;Softskills - Menu 6 - Semestre 6
SoftSkills;Softskills - Menu 7 - Semestre 6
SoftSkills;Softskills - Menu 8 - Semestre 6
SoftSkills;Softskills - Menu 9 - Semestre 6
SoftSkills;Softskills - Menu 10 - Semestre 6
SoftSkills;Softskills - Menu 11 - Semestre 6
SoftSkills;Softskills - Menu 12 - Semestre 6
FastTrack;Fast Track - Semestre 8
Options disciplinaire;AERONAUTIQUE
Options disciplinaire;BIOSTIC
Options disciplinaire;DATASIM
Options disciplinaire;ECONTROL
Options disciplinaire;ENERG
Options disciplinaire;ENRRES
Options disciplinaire;GC2D
Options disciplinaire;GI
Options disciplinaire;INFOIA
Options disciplinaire;INFOSI
Options disciplinaire;IPROD
Options disciplinaire;MAAS
Options disciplinaire;MATEPRO
Options disciplinaire;MATHAPPLI
Options disciplinaire;OCEAN
Options disciplinaire;PHYCITE
Options disciplinaire;PROPULSION
Options disciplinaire;ROBOTIQUE
Options disciplinaire;RV
Options projet;LOWTEC
Options projet;SANTINNO
Options projet;SMARTLOC
Options projet;DOCTOR
