id_subject;subject_code;subject_acronym
13974077;2223_INGE_EI_OD_AERONAUTIQUE_UE7393_DYGAZA;DYGAZA
13974124;2223_INGE_EI_OD_AERONAUTIQUE_UE7393_DYVOL;DYVOL
13974194;2223_INGE_EI_OD_AERONAUTIQUE_UE7393_ISN;ISN
13974243;2223_INGE_EI_OD_AERONAUTIQUE_UE7393_STAV;STAV
13981207;2223_INGE_EI_OD_AERONAUTIQUE_UE7494_AEFP;AEFP
13981254;2223_INGE_EI_OD_AERONAUTIQUE_UE7494_CAE;CAE
13981302;2223_INGE_EI_OD_AERONAUTIQUE_UE7494_MTURB;MTURB
13981420;2223_INGE_EI_OD_AERONAUTIQUE_UE7494_PROAE;PROAE
13991084;2223_INGE_EI_OD_AERONAUTIQUE_UE83103_AEAC;AEAC
13991132;2223_INGE_EI_OD_AERONAUTIQUE_UE83103_DYSTR;DYSTR
13991181;2223_INGE_EI_OD_AERONAUTIQUE_UE83103_P2AERO;PROJAERO
13991229;2223_INGE_EI_OD_AERONAUTIQUE_UE83103_SAE;SAE
13991278;2223_INGE_EI_OD_AERONAUTIQUE_UE83103_SPSAE;SPSAE
13974316;2223_INGE_EI_OD_BIOSTIC_UE7393_BIOCEL;BIOCEL
13974385;2223_INGE_EI_OD_BIOSTIC_UE7393_INFAVA;INFAVA
13974432;2223_INGE_EI_OD_BIOSTIC_UE7393_SIMCHI;SIMCHI
13974481;2223_INGE_EI_OD_BIOSTIC_UE7393_STAPRE;STAPRE
13981562;2223_INGE_EI_OD_BIOSTIC_UE7494_BIOMOL;BIOMOL
13981636;2223_INGE_EI_OD_BIOSTIC_UE7494_IMMUNO;IMMUNO
13981685;2223_INGE_EI_OD_BIOSTIC_UE7494_MODIAN;MODIAN
13981733;2223_INGE_EI_OD_BIOSTIC_UE7494_NEUPHY;NEUPHY
13991357;2223_INGE_EI_OD_BIOSTIC_UE83103_BIOGEN;BIOGEN
13991429;2223_INGE_EI_OD_BIOSTIC_UE83103_CONFER;CONFER
13991486;2223_INGE_EI_OD_BIOSTIC_UE83103_MOQUAN;MOQUAN
13991533;2223_INGE_EI_OD_BIOSTIC_UE83103_PROENC2;PROJBIOS
13991583;2223_INGE_EI_OD_BIOSTIC_UE83103_SYSBAD;SYSBAD
13974833;2223_INGE_EI_OD_DATASIM_UE7393_ARSIG;ARSIG
13974906;2223_INGE_EI_OD_DATASIM_UE7393_ATRIM;ATRIM
13974979;2223_INGE_EI_OD_DATASIM_UE7393_CSOPT;CSOPT
13975050;2223_INGE_EI_OD_DATASIM_UE7393_MSTAT;MSTAT
13982279;2223_INGE_EI_OD_DATASIM_UE7494_AMULT;AMULT
13982204;2223_INGE_EI_OD_DATASIM_UE7494_APSTA;APSTA
13982351;2223_INGE_EI_OD_DATASIM_UE7494_IMINV;IMINV
13982472;2223_INGE_EI_OD_DATASIM_UE7494_SIBIO;SIBIO
13992046;2223_INGE_EI_OD_DATASIM_UE83103_APPLI;APPLI
13992097;2223_INGE_EI_OD_DATASIM_UE83103_AUDIO;AUDIO
13992168;2223_INGE_EI_OD_DATASIM_UE83103_IMBIO;IMBIO
13991975;2223_INGE_EI_OD_DATASIM_UE83103_MPSET;MPSET
13992219;2223_INGE_EI_OD_DATASIM_UE83103_PRTSI2;PRTSI 2
13992297;2223_INGE_EI_OD_DOCTOR_UE83103_P3DOCT;DOCTOR
13974564;2223_INGE_EI_OD_ECONTROL_UE7393_CONEN;CONEN
13974639;2223_INGE_EI_OD_ECONTROL_UE7393_INFEM;INFEM
13974688;2223_INGE_EI_OD_ECONTROL_UE7393_METOD;METOD
13974760;2223_INGE_EI_OD_ECONTROL_UE7393_SIMUS;SIMUS
13981906;2223_INGE_EI_OD_ECONTROL_UE7494_CAVAN;CAVAN
13981978;2223_INGE_EI_OD_ECONTROL_UE7494_LTIOT;LTIOT
13981835;2223_INGE_EI_OD_ECONTROL_UE7494_MCIA;MCIA
13982049;2223_INGE_EI_OD_ECONTROL_UE7494_VECGC;VECGC
13991661;2223_INGE_EI_OD_ECONTROL_UE83103_CONUM;CONUM
13991779;2223_INGE_EI_OD_ECONTROL_UE83103_GENER;GENER
13991849;2223_INGE_EI_OD_ECONTROL_UE83103_P2ECONTROL;PROJECTR
13991898;2223_INGE_EI_OD_ECONTROL_UE83103_PENER;PENER
13991709;2223_INGE_EI_OD_ECONTROL_UE83103_TENER;TENER
13975952;2223_INGE_EI_OD_ENERG_UE7393_COMBUE;COMBU
13975804;2223_INGE_EI_OD_ENERG_UE7393_THCYM;THCYM
13975853;2223_INGE_EI_OD_ENERG_UE7393_THERMEN;THERM
13975902;2223_INGE_EI_OD_ENERG_UE7393_TUMAC;TUMAC
13982798;2223_INGE_EI_OD_ENERG_UE7494_ECONV;ECONV
13982845;2223_INGE_EI_OD_ENERG_UE7494_EDCAR;EDCAR
13982940;2223_INGE_EI_OD_ENERG_UE7494_SOLAR;SOLAR
13982988;2223_INGE_EI_OD_ENERG_UE7494_TSCGE;TSCGE
13992420;2223_INGE_EI_OD_ENERG_UE83103_BCAUE;BCAUE
13992490;2223_INGE_EI_OD_ENERG_UE83103_GCLIM;GCLIM
13992539;2223_INGE_EI_OD_ENERG_UE83103_P2ENERG;PROJENER
13992634;2223_INGE_EI_OD_ENERG_UE83103_THBATE;THBATE
13992587;2223_INGE_EI_OD_ENERG_UE83103_TPENE;TPENE
13979594;2223_INGE_EI_OD_ENRRES_UE7393_COSEL;COSEL
13979543;2223_INGE_EI_OD_ENRRES_UE7393_ENTRE;ENTRE
13979713;2223_INGE_EI_OD_ENRRES_UE7393_EOLE1;EOLE1
13979642;2223_INGE_EI_OD_ENRRES_UE7393_EOLE2;EOLE2
13987234;2223_INGE_EI_OD_ENRRES_UE7494_COREL;COREL
13987110;2223_INGE_EI_OD_ENRRES_UE7494_EMERG;EMERG
13987161;2223_INGE_EI_OD_ENRRES_UE7494_FOREL;FOREL
13987060;2223_INGE_EI_OD_ENRRES_UE7494_SOLAR;SOLAR_ENRRES
13996938;2223_INGE_EI_OD_ENRRES_UE83103_ESERE;ESERE
13997057;2223_INGE_EI_OD_ENRRES_UE83103_HYDRO;HYDRO
13997010;2223_INGE_EI_OD_ENRRES_UE83103_PRAO2;PROJENRS
13996889;2223_INGE_EI_OD_ENRRES_UE83103_SDSE;SDSE
13997116;2223_INGE_EI_OD_ENRRES_UE83103_SMART;SMART
13976076;2223_INGE_EI_OD_GC2D_UE7393_GCBMC;GCBMC
13976125;2223_INGE_EI_OD_GC2D_UE7393_GCCPS;GCCPS
13976029;2223_INGE_EI_OD_GC2D_UE7393_GCMOD;GCMOD
13976172;2223_INGE_EI_OD_GC2D_UE7393_GCSOL;GCSOL
13983065;2223_INGE_EI_OD_GC2D_UE7494_GCBA1;GCBA1
13983160;2223_INGE_EI_OD_GC2D_UE7494_GCCAS;GCCAS
13983113;2223_INGE_EI_OD_GC2D_UE7494_GCGEO;GCGEO
13983212;2223_INGE_EI_OD_GC2D_UE7494_GCPHY;GCPHY
13992759;2223_INGE_EI_OD_GC2D_UE83103_GCECO;GCECO
13992712;2223_INGE_EI_OD_GC2D_UE83103_GCMBA;GCMBA
13992855;2223_INGE_EI_OD_GC2D_UE83103_GCOUV;GCOUV
13992806;2223_INGE_EI_OD_GC2D_UE83103_GCSIS;GCSIS
13992902;2223_INGE_EI_OD_GC2D_UE83103_P2GC;PROJGC2D
13976436;2223_INGE_EI_OD_GI_UE7393_ACTOR;ACTOR
13976294;2223_INGE_EI_OD_GI_UE7393_MADEC;MADEC
13976364;2223_INGE_EI_OD_GI_UE7393_PROD;PROD
13976246;2223_INGE_EI_OD_GI_UE7393_RISK;RISK
13983338;2223_INGE_EI_OD_GI_UE7494_CHANE;CHANE
13983387;2223_INGE_EI_OD_GI_UE7494_MAPIN;MAPIN
